"","4011","4012","4013","4014","4015","4141","4142","4143","4144","4145","4151","4152","4153","4154","4155","4161","4162","4163","4164","4165","4171","4172","4173","4174","4175","4191","4192","4193","4194","4195","4201","4202","4203","4204","4205","4221","4222","4223","4224","4225","4231","4232","4233","4234","4235","4241","4242","4243","4244","4245","4251","4252","4253","4254","4255","4261","4262","4263","4264","4265","4301","4302","4303","4304","4305","4311","4312","4313","4314","4315","4391","4392","4393","4394","4395","4411","4412","4413","4414","4415"
"ABIE.BAL",0.737,0.737,0.737,0.737,0.737,0.692,0.737,0.692,0.692,0.786,0.737,0.737,0.692,0.737,0.737,0.737,0.737,0.737,0.692,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.651,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.692,0.692,0.692,0.692,0.692,0.737,0.737,0.737,0.737,0.737,0.737,0.692,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737
"ACER.RUB",0.786,0.786,0.692,0.786,0.786,0.651,0.737,0.737,0.737,0.737,0.737,0.786,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.786,0.737,0.786,0.737,0.786,0.786,0.786,0.786,0.786,0.786,0.737,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.737,0.737,0.737,0.737,0.737,0.786,0.651,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.737,0.786,0.786,0.786,0.786,0.786
"ACER.SAH",0.651,0.614,0.614,0.614,0.651,0.581,0.581,0.581,0.581,0.581,0.581,0.614,0.581,0.581,0.581,0.581,0.581,0.581,0.523,0.581,0.614,0.581,0.614,0.581,0.651,0.614,0.651,0.614,0.614,0.614,0.651,0.651,0.651,0.692,0.651,0.614,0.692,0.651,0.651,0.651,0.581,0.692,0.737,0.692,0.692,0.692,0.692,0.692,0.651,0.692,0.737,0.737,0.737,0.692,0.737,0.692,0.692,0.692,0.692,0.692,0.551,0.581,0.581,0.581,0.581,0.614,0.551,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.581,0.651,0.692,0.692,0.692,0.692
"BETU.ALL",0.692,0.651,0.651,0.651,0.692,0.614,0.651,0.651,0.651,0.651,0.651,0.692,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.692,0.692,0.786,0.786,0.786,0.786,0.786,0.786,0.692,0.737,0.786,0.692,0.786,0.692,0.786,0.692,0.737,0.737,0.786,0.786,0.737,0.786,0.737,0.786,0.786,0.786,0.737,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.786,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.786,0.786,0.786,0.786,0.786
"BETU.PAP",0.944,0.893,0.838,0.893,0.838,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.944,0.893,0.893,0.893,0.944,0.944,0.944,0.893,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.893,0.944,0.944,0.893,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.944,0.893,0.893,0.893,0.893,0.893,0.893,0.786,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.944,0.944,0.944,0.944,0.944
"FAGU.GRA",0.581,0.476,0.498,0.476,0.551,0.335,0.372,0.359,0.335,0.347,0.401,0.523,0.335,0.386,0.401,0.359,0.401,0.372,0.335,0.401,0.523,0.476,0.455,0.476,0.551,0.551,0.581,0.581,0.551,0.551,0.614,0.614,0.614,0.614,0.614,0.523,0.614,0.581,0.581,0.581,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.614,0.614,0.651,0.651,0.692,0.692,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.314,0.401,0.335,0.401,0.335,0.498,0.372,0.476,0.476,0.401,0.401,0.359,0.386,0.372,0.401,0.614,0.651,0.614,0.614,0.651
"LARI.LAR",0.893,0.838,0.838,0.893,0.893,0.838,0.838,0.838,0.838,0.838,0.893,0.893,0.838,0.893,0.893,0.893,0.893,0.838,0.838,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.893,0.838,0.838,0.838,0.838,0.838,0.893,0.838,0.893,0.893,0.838,0.838,0.838,0.838,0.838,0.838,0.893,0.893,0.893,0.893,0.893
"PICE.GLA",0.651,0.651,0.651,0.651,0.614,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.614,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.614,0.651,0.614,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651,0.651
"PICE.MAR",0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.551,0.614,0.581,0.614,0.614,0.614,0.581,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614,0.614
